"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4.7u";;;
2;"C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4.5n";;;
3;"C3,C5,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"100n";;;
4;"D1";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"LED";;;
5;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1M";;;
6;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k5";;;
7;"R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"270R";;;
8;"U1";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"ATSAMD11D14A-SS";;;
9;"U2";"SOT-23-5_HandSoldering";1;"SPX3819M5-L-3-3";;;
10;"X1,X2";"PinHeader_1x10_P2.54mm_Vertical";2;"Conn_01x10_Male";;;
11;"X3";"SWD";1;"SWD";;;
12;"X4";"conn_usb_B_micro_smd-2";1;"USB_B_Micro";;;
